TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Suzuki Mehran  2014 VX Euro II for Sale,PKR 10.5 lacs,2014,"116,000 km",Petrol,796 cc,Manual,page 1,https://www.pakwheels.com/used-cars/suzuki-mehran-2014-for-sale-in-lahore-11205009
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,PKR 33 lacs,2013,"66,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-gujranwala-11205010
Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 37 lacs,2016,"118,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11204499
Honda City 6th Generation 2022 1.2L CVT for Sale,PKR 44 lacs,2022,"47,000 km",Petrol,1200 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-karachi-11205043
Honda City 5th (GM2) Generation 2015 Aspire 1.5 i-VTEC for Sale,PKR 33.7 lacs,2015,"100,000 km",Petrol,1500 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-islamabad-11196913
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.9 lacs,2021,"65,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-11182952
Honda City  2017 1.3 i-VTEC Prosmatec for Sale,PKR 36.9 lacs,2017,"99,000 km",Petrol,1300 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-rawalpindi-11192159
Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,PKR 26.5 lacs,2014,"216,910 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-11204802
Honda City  2018 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 40.8 lacs,2018,"95,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11197426
Honda City  2014 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 32.25 lacs,2014,"173,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-11203299
Daihatsu Tanto  2022 X Turbo for Sale,PKR 31.8 lacs,2022,"24,413 km",Petrol,660 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/daihatsu-tanto-2022-for-sale-in-karachi-11024630
MG HS  2021 Trophy for Sale,PKR 59 lacs,2021,"99,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-11204739
Honda City  2007 i-DSI for Sale,PKR 23 lacs,2007,"195,200 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-islamabad-11205074
Toyota Corolla  2013 XLi VVTi for Sale,PKR 26 lacs,2013,"95,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-chichawatni-11205052
Honda City 6th Generation 2021 1.2L M/T for Sale,PKR 41.25 lacs,2021,"50,000 km",Petrol,1200 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-sialkot-11205061
Honda Vezel  2015 Hybrid Z for Sale,PKR 48 lacs,2015,"181,000 km",Hybrid,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-islamabad-11048184
Honda City  2014 1.3 i-VTEC for Sale,PKR 33 lacs,2014,"150,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-wah-cantt-9902750
