TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Honda Civic Rebirth 2013 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 33.5 lacs,2013,"77,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-11204807
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 67.9 lacs,2021,"22,500 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-11164612
Honda Civic  2006 VTi Prosmatec 1.6 for Sale,PKR 29.75 lacs,2006,"60,750 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-islamabad-11204765
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57.25 lacs,2019,"112,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11201461
Honda HR-V  2023 VTi-S for Sale,PKR 63.95 lacs,2023,"65,105 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-hr-v-2023-for-sale-in-lahore-11158589
Honda Civic Reborn 2011 VTi Oriel 1.8 i-VTEC for Sale,PKR 26.75 lacs,2011,"96,000 km",Petrol,1800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-11204667
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 46.95 lacs,2016,"69,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11179139
Honda Civic 7th Generation (Facelift) 2004 VTi 1.6 for Sale,PKR 17.5 lacs,2004,"180,000 km",Petrol,1600 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-11048388
Toyota Prius  2020 PHV (Plug In Hybrid) for Sale,PKR 95 lacs,2020,"35,000 km",PHEV,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-prius-2020-for-sale-in-islamabad-11093710
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.95 lacs,2018,"94,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11126761
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 67.95 lacs,2021,"47,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-vehari-11204595
Honda Civic  2004 VTi Prosmatec 1.6 for Sale,PKR 17 lacs,2004,"154,506 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-lahore-11204561
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 36.5 lacs,2013,"137,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-bhalwal-11204923
Honda Civic Reborn 2010 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 26 lacs,2010,"122,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-karachi-11204917
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.85 lacs,2018,"96,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11204916
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,PKR 16.7 lacs,2005,"200,000 km",Petrol,1500 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-gujranwala-11204914
Honda Civic Reborn 2008 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24 lacs,2008,"141,800 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-karachi-11204913
Honda Civic  2013 VTi Oriel 1.8 i-VTEC for Sale,PKR 33.35 lacs,2013,"90,000 km",Petrol,1800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-karachi-11204910
Honda Civic  2006 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 24.8 lacs,2006,"155,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2006-for-sale-in-lahore-11204858
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 21.5 lacs,2007,"270,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-peshawar-11204894
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 39.5 lacs,2016,"86,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-sargodha-11204876
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 58 lacs,2020,"52,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-rawalpindi-11204817
Honda Civic Rebirth 2014 Oriel Prosmatec UG for Sale,PKR 38 lacs,2014,"135,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-sahiwal-11204819
Honda Civic 7th Generation (Facelift) 2005 EXi for Sale,PKR 15.5 lacs,2005,"138,000 km",Petrol,1500 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-karachi-11204801
Honda Civic  1996 VTi 1.6 for Sale,PKR 10.5 lacs,1996,"200,000 km",Petrol,1600 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-1996-for-sale-in-jhelum-11204756
Honda Civic  2022 Oriel for Sale,PKR 74 lacs,2022,"62,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-lahore-11204746
Honda Civic Rebirth 2014 Oriel Prosmatec UG for Sale,PKR 34.55 lacs,2014,"140,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-haripur-11204745
Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 36 lacs,2015,"146,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-11066040
Honda Civic Reborn 2011 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 22.5 lacs,2011,"200,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-islamabad-11204695
Honda Civic 7th Generation (Facelift) 2005 VTi Prosmatec 1.6 for Sale,PKR 15.95 lacs,2005,"300,000 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-lahore-11204680
Honda Civic  2014 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 32.25 lacs,2014,"78,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-11071381
Honda Civic  2022 1.5 RS Turbo for Sale,PKR 79.5 lacs,2022,"37,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-11126189
Honda Civic  2017 Turbo 1.5 VTEC CVT for Sale,Call,2017,"110,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11125480
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 63.75 lacs,2021,"48,397 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-karachi-11124796
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.9 lacs,2019,"83,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11163182
