TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 73.25 lacs,2021,400 km,Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-sargodha-11165411
Toyota Corolla  2008 Altis SR Cruisetronic 1.8 for Sale,PKR 29.95 lacs,2008,"135,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-islamabad-11202564
Toyota Corolla  2013 XLi VVTi Limited Edition for Sale,PKR 26.8 lacs,2013,"100,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-peshawar-11202490
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 66.5 lacs,2021,"97,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-11202471
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 28.75 lacs,2014,"128,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-lahore-11180402
Porsche Cayenne  2006  for Sale,PKR 90 lacs,2006,"112,000 km",Petrol,3200 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/porsche-cayenne-2006-for-sale-in-lahore-11081726
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 49.95 lacs,2019,"90,000 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-multan-11179146
Toyota Corolla  2025 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 80 lacs,2025,"18,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2025-for-sale-in-islamabad-11116463
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 67.5 lacs,2022,"65,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-bahawalpur-11181477
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,PKR 43.5 lacs,2015,"24,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-11202334
Toyota Corolla Axio  2014  for Sale,PKR 40 lacs,2014,135 km,Hybrid,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2014-for-sale-in-karachi-11057360
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,PKR 45 lacs,2017,"139,752 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-11014989
Toyota Corolla  2011 GLi Automatic 1.6 VVTi for Sale,PKR 30.95 lacs,2011,"91,000 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-lahore-11202566
